date, pm10, o3, no2
2017/9/23, 28, 17, 26
2017/9/24, 35, 10, 16
2017/9/25, 31, 9, 23
2017/9/26, 41, 13, 22
2017/9/27, 41, 14, 22
2017/9/28, 50, 15, 35
2017/9/29, 49, 24, 31
2017/9/30, 50, 29, 27
2017/10/1, 42, 18, 22
2017/4/2, 46, 36, 20
2017/4/3, 29, 28, 31
2017/4/4, 25, 22, 28
2017/4/5, 32, 27, 30
2017/4/6, 31, 31, 24
2017/4/7, 19, 23, 25
2017/4/8, 18, 24, 22
2017/4/9, 16, 33, 28
2017/4/10, 28, 33, 32
2017/4/11, 38, 22, 24
2017/4/12, 15, 18, 26
2017/4/13, 34, 27, 26
2017/4/14, 16, 30, 16
2017/4/15, 13, 25, 22
2017/4/16, 28, 26, 19
2017/4/17, 16, 31, 24
2017/4/18, 14, 31, 20
2017/4/19, 17, 33, 17
2017/4/20, 12, 33, 33
2017/4/21, 18, 23, 32
2017/4/22, 32, 29, 18
2017/4/23, 15, 27, 16
2017/4/24, 12, 31, 29
2017/4/25, 17, 27, 31
2017/4/26, 24, 30, 40
2017/4/27, 17, 26, 39
2017/4/28, 22, 28, 44
2017/4/29, 32, 30, 28
2017/4/30, 24, 37, 25
2017/5/1, 20, 39, 14
2017/5/2, 26, 33, 22
2017/5/3, 26, 28, 21
2017/5/4, 34, 26, 20
2017/5/5, 17, 20, 28
2017/5/6, 27, 34, 24
2017/5/7, 27, 35, 18
2017/5/8, 19, 27, 27
2017/5/9, 15, 24, 32
2017/5/10, 14, 25, 30
2017/5/11, 20, 40, 37
2017/5/12, 25, 45, 30
2017/5/13, 34, 29, 33
2017/5/14, 33, 32, 27
2017/5/15, 33, 34, 33
2017/5/16, 25, 29, 40
2017/5/17, 27, 42, 39
2017/5/18, 23, 44, 42
2017/5/19, 34, 47, 46
2017/5/20, 42, 35, 19
2017/5/21, 25, 40, 22
2017/5/22, 20, 45, 35
2017/5/23, 24, 48, 39
2017/5/24, 33, 27, 25
2017/5/25, 19, 28, 18
