date, pm25, pm10, o3, no2, so2, co
2015/2/7, 31, 16, 16, 29, 6, 
2015/2/8, 49, 17, 26, 23, 7, 
2015/2/9, 54, 17, 29, 24, 5, 
2015/2/10, 52, 20, 27, 28, 5, 
2015/2/11, 56, 24, 20, 32, 6, 
2015/2/12, 55, 32, 20, 32, 6, 
2015/2/13, 63, 34, 31, 33, 4, 
2015/2/14, 77, 18, 29, 19, 3, 
2015/2/15, 46, 11, 26, 18, 4, 
2015/2/16, 35, 15, 26, 22, 4, 
2015/2/17, 39, 12, 31, 18, 5, 
2015/2/18, 28, 12, 27, 21, 6, 
2015/2/19, 37, 24, 26, 31, 5, 
2015/2/20, 59, 37, 28, 40, 5, 
2015/2/21, 85, 14, 34, 17, 4, 
2015/2/22, 44, 14, 32, 26, 4, 
2015/2/23, 39, 16, 26, 21, 4, 
2015/2/24, 40, 12, 32, 19, 3, 
2015/2/25, 30, 15, 31, 24, 4, 
2015/2/26, 33, 19, 24, 28, 5, 
2015/2/27, 46, 15, 31, 28, 6, 
2015/2/28, 38, 18, 25, 29, 5, 
2015/3/1, 44, 15, 25, 19, 4, 
2015/3/2, 37, 23, 17, 21, 4, 
2015/3/3, 56, 35, 13, 26, 4, 
2015/3/4, 80, 24, 32, 27, 6, 
2015/3/5, 57, 13, 31, 27, 6, 
2015/3/6, 33, 24, 26, 37, 5, 
2015/3/7, 46, 40, 23, 46, 8, 
2015/3/8, 71, 32, 30, 38, 7, 
2015/3/9, 62, 30, 28, 48, 7, 
2015/3/10, 54, 37, 28, 48, 5, 
2015/3/11, 62, 44, 31, 52, 6, 
2015/3/12, 80, 45, 30, 50, 6, 
2015/3/13, 92, 35, 29, 30, 6, 
2015/3/14, 70, 13, 36, 17, 5, 
2015/3/15, 26, 19, 34, 19, 5, 
2015/3/16, 52, 27, 30, 30, 5, 
2015/3/17, 64, 33, 32, 28, 5, 
2015/3/18, 74, 16, 36, 26, 4, 
2015/3/19, 52, 14, 28, 17, 4, 
2015/3/20, 37, 21, 30, 19, 4, 
2015/3/21, 55, 13, 28, 18, 4, 
2015/3/22, 44, 11, 28, 17, 5, 
2015/3/23, 33, 12, 19, 28, 5, 
2015/3/24, 42, 10, 30, 21, 5, 
2015/3/25, 34, 8, 34, 16, 5, 
2015/3/26, 20, 15, 29, 25, 4, 
2015/3/27, 36, 14, 22, 22, 5, 
2015/3/28, 36, 25, 28, 27, 5, 
2015/3/29, 61, 16, 34, 18, 4, 
2015/3/30, 38, 24, 37, 30, 4, 
