date, pm25, o3, no2, so2, co
2017/2/8, 55, 16, 6, , 
2017/2/9, 40, 15, 1, , 
2017/2/10, 21, 14, 5, , 
2017/2/11, 18, 13, 6, , 
2017/2/12, 50, 13, 5, , 
2017/2/13, 53, 18, 1, , 
2017/2/14, 14, 11, 9, , 
2017/2/15, 28, 16, 7, , 
2017/2/16, 29, 16, 4, , 
2017/2/17, 16, 16, 8, , 
2017/2/18, 31, 19, 8, , 
2017/2/19, 37, 19, 4, , 
2017/2/20, 41, 19, 4, , 
2017/2/21, 50, 18, 5, , 
2017/2/22, 28, 10, 8, , 
2017/2/23, 40, 17, 6, , 
2017/2/24, 36, 16, 3, , 
2017/2/25, 17, 16, 2, , 
2017/2/26, 20, 16, 2, , 
2017/2/27, 25, 15, 7, , 
2017/2/28, 33, 17, 5, , 
2017/3/1, 35, 13, 3, , 
2017/3/2, 35, 17, 1, , 
2017/3/3, 15, 16, 4, , 
2017/3/4, 21, 17, 3, , 
2017/3/5, 16, 17, 2, , 
2017/3/6, 17, 17, 4, , 
2017/3/7, 28, 19, 4, , 
2017/3/8, 33, 18, 3, , 
2017/3/9, 17, 20, 7, , 
2017/3/10, 22, 17, 2, , 
2017/3/11, 30, 18, 1, , 
2017/3/12, 16, 17, 1, , 
2017/3/13, 22, 17, 2, , 
2017/3/14, 19, 16, 1, , 
2017/3/15, 22, 17, 2, , 
2017/3/16, 17, 18, 4, , 
